Company,MarketValue
Tate & Lyle ,2507.89
TBC Bank Group ,1696.58
Telecom Plus ,1417.64
Temple Bar Investment Trust ,776.46
Templeton Emerging Markets Investment Trust ,1797.39
The European Smaller Companies Trust ,740.54
The Global Smaller Companies Trust ,791.5
The Renewables Infrastructure Group Limited,2460.29
TI Fluid Systems ,678.67
TP ICAP Group ,1656.58
TR Property Investment Trust ,1075.82
Trainline ,1538.21
Travis Perkins ,1934.9
Tritax Big Box REIT ,4026.14
Tritax Eurobox ,536.52
Trustpilot Group ,856.35
TwentyFour Income Fund Ltd,765.43
Tyman ,768.6
Urban Logistics REIT ,594.69
Vesuvius ,1254.19
Victrex,964.35
Vietnam Enterprise Investments Ltd,1140.28
VinaCapital Vietnam Opportunity Fund Ltd,742.26
Virgin Money UK ,985.29
Volution Group ,441.62
WAG Payment Solutions ,948.7
Watches Of Switzerland Group ,946.95
WH Smith ,1620.7
Witan Investment Trust ,1621.08
Wizz Air Holdings ,2329.77
Wood Group (John) ,1418.27
Workspace Group ,1193.21
Worldwide Healthcare Trust ,1946.03
XPS Pensions Group ,668.29
Zigup ,966.59
